series,ranks,nodes,ranks_per_node,cells_per_rank,computeprojection,computediffusion,computeadvection,ft_propagate,solve1_temperature,solve2_vapor,remainder_whole_step_minus_sum_of_routines,whole_step
w32,8,1,8,32768,0.09183,0.1051,0.3755,0.3854,0.03078,0.03158,0.02368,1.044
w32,27,1,27,32768,0.1533,0.1731,0.4278,0.4585,0.06017,0.05455,0.02680,1.354
w32,64,1,64,32768,0.2245,0.2598,0.4446,0.5020,0.1040,0.09011,0.03430,1.659
w32,125,2,62.5,32768,0.2549,0.4260,0.5666,0.4646,0.1604,0.1383,0.03142,2.042
w32,216,4,54,32768,0.3167,0.4906,0.5130,0.4626,0.1717,0.1388,0.03316,2.127
w32,343,6,57.17,32768,0.3910,0.5250,0.4583,0.4703,0.1880,0.1498,0.03560,2.218
w32,512,8,64,32768,0.4635,0.5563,0.4997,0.5042,0.2084,0.1612,0.03824,2.432
w32,1000,16,62.5,32768,1.240,0.6248,0.6682,0.5556,0.2422,0.1887,0.04041,3.560
w64,1,1,1,262144,0.5717,0.6012,2.898,1.736,0.1623,0.1659,0.1923,6.327
w64,8,1,8,262144,0.7301,1.387,2.912,1.535,0.5435,0.5294,0.1466,7.783
w64,27,1,27,262144,1.606,5.267,3.350,1.916,1.730,1.633,0.1718,15.67
w64,64,1,64,262144,3.020,7.114,3.413,2.157,2.192,1.936,0.1956,20.03
w64,125,2,62.5,262144,3.077,7.524,3.424,1.936,2.416,2.128,0.2003,20.71
w64,216,4,54,262144,2.876,7.545,3.572,1.988,2.536,2.202,0.2357,20.96
w64,343,6,57.17,262144,3.774,8.726,3.927,1.953,2.936,2.456,0.2132,23.99
w64,512,8,64,262144,4.172,9.395,4.432,2.186,2.994,2.503,0.2583,25.94
s128,8,1,8,262144,0.7301,1.387,2.912,1.535,0.5435,0.5294,0.1466,7.783
s128,64,1,64,32768,0.2245,0.2598,0.4446,0.5020,0.1040,0.09011,0.03430,1.659
s128,128,2,64,16384,0.1636,0.1332,0.2251,0.3445,0.06381,0.05113,0.02086,1.002
s128,256,4,64,8192,0.1582,0.07274,0.1157,0.2354,0.04016,0.03006,0.01312,0.6654
s128,512,8,64,4096,0.2120,0.04965,0.08263,0.1970,0.02889,0.01961,0.01146,0.6013
s256,64,1,64,262144,3.014,7.113,3.420,2.158,2.185,1.919,0.1919,20.00
s256,128,2,64,131072,1.476,3.123,1.822,1.391,0.9705,0.8161,0.1200,9.719
s256,256,4,64,65536,0.7501,1.317,1.017,0.8494,0.4384,0.3518,0.05975,4.783
s256,512,8,64,32768,0.4635,0.5563,0.4997,0.5042,0.2084,0.1612,0.03824,2.432
s256,1024,16,64,16384,1.145,0.2989,0.3119,0.3385,0.1245,0.08863,0.02703,2.335
